title,time,likes,stars,info
大家怎么看“流水线公主”这个词,4天前, 0, 0,null
我知道他为什么能当领导了,4天前, 0, 2,“结婚没通知前领导，但是给我随份子了” ​​​
善良的女孩在社会吃的第一个亏,4天前, 0, 2,@比格犬受害者联盟：《我真的很想养它》去年疫情封控，狗因为太久没出门，自己偷跑出去了。我调了半天监控，也没发现具体丢在哪，一直没有找到它，就这样过了30天。过年的前两天，有人发现它...
我们减肥人是这样的,4天前, 0, 6,null
看着还怪香的,4天前, 0, 0,null
远离爱嘲笑别人快乐廉价的人，他活的不快乐也希望别人不快乐,4天前, 0, 2,关于“流水线公主” 这个评论 ​​​
真难得被偷拍不仅没有生气还反过来帮忙解释,1天前, 0, 2,null
医生太可爱了,1天前, 0, 1,null
《转户口》 ​​​,1天前, 0, 0,null
青岛民政局长的好像城堡,1天前, 0, 1,null
哈哈还是这个比较像 ​​​,1天前, 0, 1,null
这位乘客你拿走了属于司机的那一份安全感,1天前, 0, 0,null
女子官宣结婚被民警提醒赶紧分手,1天前, 0, 0,近日，浙江嘉兴秀洲王江泾的李女士，在社交平台公布了婚讯，幸福之情溢于言表。在留言道贺的好友里，秀洲王江泾派出所民警马驰骅，却发出了疑问。在详细了解情况后，马驰骅立刻感觉不对，赶紧叫...
印度：你礼貌嘛？,1天前, 0, 1,"""成绩也不理想"" ​​​ 印度：你礼貌嘛？"
越长越像了 ​​​,1天前, 0, 0,null
电子镣铐？,1天前, 0, 0,工作场所的人体存在传感器，通提取人体进入环境后的距离、相位、呼吸、心跳等电磁波反馈信号数据，办公室老板就能知道谁在不在办公桌前了。
创业公司劳动法都不看，吃早药丸,1天前, 0, 0,我发现有些老板真的有一种，我给你一个工作你就得给我跪下说话的气势，句句挂着劳动法，却看不明白字，试用期就不用交社保，您那本劳动法是地摊上买得盗版的吧？ ​​​
硬抗七个小时 ​​​,1天前, 0, 2,好样的，硬抗七个小时（@心有善念途中便有天使）
早上看到条新闻。感慨世界之大。,1天前, 0, 1,@荐见：早上看到条新闻。感慨世界之大。 五年前，山东潍坊一个刚到而立之年的屌丝在运营一个短视频账号的时候发现了流量密码。他专门在网上搜集和发布女艺术生表演、艺考类的日常。流量寻味而...
论黄牛的操作有多离谱,1天前, 0, 0,黄牛果然能找到各种稀奇古怪的进场方式 ​​​
虚岁的存在意义是什么？ 你们觉得呢 ​​​,1天前, 0, 0,null
提醒：不要把脚放在汽车的仪表板上！,1天前, 0, 0,@蓝莓医生：令人不寒而栗的提醒：不要把脚放在汽车的仪表板上！ ⁣一个展开的安全气囊以大约 320 公里 / 小时的速度膨胀，仪表盘上的腿被迅猛后推，髋关节完全脱位，股骨头完全暴露。...
小县城把核酸亭改造成了自习室,1天前, 0, 1,去图书馆的时候发现楼下多了几个核酸采样亭改造的自习室，放置在比较安静的位置，走近发现小小的屋子窗明几净，有空调有桌椅还有可以借还的图书，不知道是谁想出来的点子，真不错啊！ 并没有核...
